bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
3142,T-cells,0.0412371134020619,0.0425531914893617,0.0490196078431373,0.0843373493975904,0.0958904109589041,0.135135135135135,0.0266666666666667,0.0298507462686567,0.0792079207920792,0.0612244897959184,0.113636363636364,0.0526315789473684,0.083969465648855,,,,
3177,Placenta-HIGH,0.0307692307692308,0.0185185185185185,0.0740740740740741,0.192982456140351,0.120481927710843,0.0863309352517986,0.00684931506849315,0.181034482758621,0.0974729241877256,0.15625,0.0932203389830508,0.166666666666667,0.297709923664122,,0.0526315789473684,0.314285714285714,0.476190476190476
3178,Placenta-HIGH,0.0801526717557252,0.0588235294117647,0.0647058823529412,0.290780141843972,0.223076923076923,0.0625,0.12,0.121212121212121,0.0497076023391813,0.0990990990990991,0.0689655172413793,0.257309941520468,0.284615384615385,0.0416666666666667,,,0.448979591836735
3184,Placenta-HIGH,0.176470588235294,0.169014084507042,0.192708333333333,0.291866028708134,0.387096774193548,0.211111111111111,0.158333333333333,0.318471337579618,0.289855072463768,0.157407407407407,0.157894736842105,0.4125,0.303834808259587,0.164179104477612,0.204545454545455,0.245283018867925,0.5
3189,Placenta-HIGH,0.455172413793104,0.425149700598802,0.358565737051793,0.358744394618834,0.381526104417671,0.45933014354067,0.283582089552239,0.336585365853659,0.337620578778135,0.275,0.354066985645933,0.487951807228916,0.461538461538462,0.434782608695652,0.333333333333333,0.527027027027027,0.46031746031746
3198,Neutrophils,0.741176470588235,0.617283950617284,0.707964601769912,0.834710743801653,0.735576923076923,0.775510204081633,0.560606060606061,0.72020725388601,0.681647940074906,0.691275167785235,0.802030456852792,0.781420765027322,0.804081632653061,0.770833333333333,0.857142857142857,0.671875,0.729166666666667
3218,Placenta-HIGH,0.169082125603865,0.166666666666667,0.0629370629370629,0.234817813765182,0.242553191489362,0.106280193236715,0.123655913978495,0.341614906832298,0.183132530120482,0.162790697674419,0.205882352941176,0.213114754098361,0.366492146596859,0,0.111111111111111,0.0454545454545455,0.461538461538462
3225,Placenta-HIGH,0.130434782608696,0.195652173913043,0.177083333333333,0.16030534351145,0.336363636363636,0.102941176470588,0.0568181818181818,0.275,0.318181818181818,0.20952380952381,0.114942528735632,0.313725490196078,0.165354330708661,,0.193548387096774,0.25,0.521739130434783
3226,Neutrophils,0.72258064516129,0.547169811320755,0.649006622516556,0.677725118483412,0.773519163763066,0.716981132075472,0.693989071038251,0.783216783216783,0.787575150300601,0.765822784810127,0.714285714285714,0.798969072164949,0.831325301204819,0.676470588235294,0.806451612903226,0.61,0.65979381443299
3228,Placenta-HIGH,0.133802816901408,0.0769230769230769,0.0683760683760684,0.257668711656442,0.267857142857143,0.056,0.12781954887218,0.15702479338843,0.203856749311295,0.211111111111111,0.226315789473684,0.4,0.266666666666667,0.0816326530612245,,0.12,0.113207547169811
3234,Placenta-HIGH,0.142857142857143,0.346153846153846,0.338983050847458,0.360655737704918,0.282258064516129,0.138297872340426,0.422222222222222,0.301075268817204,0.221556886227545,0.351063829787234,0.288135593220339,0.329411764705882,0.412213740458015,,,0.371428571428571,0.151515151515152
3245,T-cells,0.111111111111111,0.0916666666666667,0.0962566844919786,0.0632183908045977,0.0660377358490566,0.0671641791044776,0.0662983425414365,0.0597014925373134,0.106299212598425,0.0461538461538462,0.0266666666666667,0.0208333333333333,0.0481927710843374,0.0178571428571429,,0.0178571428571429,
3248,Placenta-HIGH,0.114893617021277,0.0548523206751055,0.0747126436781609,0.144,0.0987654320987654,0.104166666666667,0.0964467005076142,0.218181818181818,0.163934426229508,0.17156862745098,0.146496815286624,0.188811188811189,0.2264631043257,0,0.0561797752808989,0.117647058823529,0.289855072463768
3288,Placenta-HIGH,0.0666666666666667,0.109756097560976,0.127490039840637,0.200704225352113,0.211488250652742,0.127450980392157,0.19815668202765,0.2,0.159268929503916,0.141843971631206,0.122994652406417,0.202970297029703,0.115671641791045,0.0625,0.0810810810810811,0.350877192982456,0.0958904109589041
3312,Placenta-HIGH,0.727272727272727,0.7265625,0.867924528301887,0.723684210526316,0.787709497206704,0.835978835978836,0.718120805369128,0.773913043478261,0.803508771929825,0.904109589041096,0.727891156462585,0.757575757575758,0.825842696629213,0.943396226415094,0.833333333333333,,
3328,Placenta-HIGH,0.0555555555555556,0.0902255639097744,0.0961538461538462,0.0722433460076046,0.215789473684211,0.0456852791878173,0.0884353741496599,0.173708920187793,0.143603133159269,0.0390625,0.13768115942029,0.168421052631579,0.155080213903743,0,0.0833333333333333,0.0545454545454545,0.125
3334,Placenta-HIGH,0.164,0.25,0.224215246636771,0.278985507246377,0.338129496402878,0.334763948497854,0.255681818181818,0.342657342657343,0.272108843537415,0.342857142857143,0.195020746887967,0.429752066115702,0.327272727272727,0.333333333333333,0.450980392156863,0.260869565217391,0.554347826086957
3335,Placenta-HIGH,0.0472103004291846,0.0472103004291846,0.0648464163822526,0.216949152542373,0.170588235294118,0.0766871165644172,0.0441176470588235,0.127659574468085,0.055327868852459,0.0710382513661202,0.144404332129964,0.25830258302583,0.156794425087108,0.027027027027027,0.0963855421686747,0.09375,0.154205607476636
3343,Placenta-HIGH,0.466898954703833,0.538461538461538,0.645038167938931,0.659919028340081,0.613013698630137,0.542222222222222,0.471014492753623,0.555160142348754,0.536170212765958,0.675,0.766536964980545,0.580786026200873,0.707936507936508,0.0810810810810811,0.421052631578947,0.448979591836735,0.436893203883495
